Club Name,District,Project Category,Project Title,Project Description
Kathmandu City,Nepal,Childhood literacy,Siddhartha Vanasthali Institute Life Skills & Leader Develoment Program,"""We are have planned to conduct the following programs in Siddhartha Vanasthali Institute, Panauti, Kavre in the coming fiscal year. Reading is Fun, TERRIFIC Kids, Builders Club, Health & Hygiene Camps, Sports/Arts/ Competition, Nutrition, Enroll to Earn More, Build Up Grade """
Literacy In Southern California,California-Nevada-Hawaii,Childhood literacy,Be a Book Hero™,"""Our ""Be a Book Hero™"" Project is our signature project. We give kids access to books to unlock their lives and imagination through literacy. We build Kiwanis Book Boxes and hold free book distributions for clubs and community partners. Our signature project is simple and focused."""
Papine,Eastern Canada and the Caribbean,Childhood literacy,Read for the Stars Reading Competition,"""To improve the reading skills at the early childhood level. To promote parent involvement in children's reading and education from an early age. To facilitate hybrid learning with the use of technology at the early childhood level by providing tablets to those in need."""
Leyte Digital Innovators,Southern Philippine,Childhood literacy,#WEprotectchildren,"""#weprotectchildren"""
Charleston,Illinois-Eastern Iowa,Childhood literacy,Kiwanis Free Library,"""Providing books to the community with free books for children"""
Lucena Bravehearts,Philippine Luzon,Childhood literacy,PROJECT RIO: Read It Out,"""""PROJECT RIO: Read It Out"" focuses on grade school students' English and Filipino literacy skills especially in reading comprehension. Together with our partner school, our goal is to make the students ready and comfortable to step up to high school level with their skills."""
Bay Terrace,New York,Childhood literacy,Kamp Little Free Library Books ,"""Maintain the little free library we installed 2022and provide books for children to use and take free @ the Kamp."""
Rex-Ellenwood,Georgia,Childhood literacy,Vision Into Reality,"""Preserving The Public School System"""
Kriti Kathmandu,Nepal,Childhood literacy,kavya marathon,"""The Kiwanis Club of Kriti Kathmandu proudly presents its signature project, the Run for Education Marathon. This event is organized with the primary goal of raising awareness and funds to support education for underprivileged children. The Kiwanis Club, whose main purpose is ""Ser"""
Royal Luidas Vale,Eastern Canada and the Caribbean,Childhood literacy,Read Across Lluidas Vale ,"""Read Across Lluidas Vale is getting to the basis of literacy which will be ongoing """
The Ozarks,Missouri-Arkansas,Childhood literacy,Little libraries,"""Our little libraries are being located in small rural communities in stone and taney counties  They are being built by our sposored boy scout troop"""
Kawit 1st Republic,Philippine Luzon,Childhood literacy,KIWANIS ONE DAY,"""OUR CLUB PARTICIPATED ON THIS ACTIVITY ON NOVEMBER 3, 2024. WE WERE ABLE TO SHARE 100 SETS OF SCHOOL SUPPLIES FOR 100 CHILDREN RESIDING AT RIVERSIDE BUHAY NA TUBIG IMUS CAVITE.  TREE PLANTING ,FEEDING AND ART PAINTING WERE ALSO PART OF THIS 1 DAY ACTIVITY."""
Winters,California-Nevada-Hawaii,Childhood literacy,Kiwanis Reading Jamboree,"""The Reading Jamboree is a celebration of reading and literacy. Local volunteers and educators read children's books in English and Spanish, while local agencies and nonprofits host games and share information and resources on literacy-related things."""
Metro Tagaytay-Kalinga,Philippine Luzon,Childhood literacy,Pusong Mapag-Kalinga,"""We launched our signature project “Pusong Mapag-Kalinga” on Feb 22,2021 which aims to equip specially-abled children. We donated printer  and specified school supplies to Tagaytay City Central School SPED center to help specially -abled kids in their distant-learning program."""
Uptown Temple Terrace,Florida,Childhood literacy,Cops N Kids,"""Cops reading books to kids and donating books"""
"Worthington, Kingston",Eastern Canada and the Caribbean,Childhood literacy,C.O.R.E - Creating Opportunities for Reading Everyday,"""Establishing a literacy hub in Kingston's early childhood institutions aims to boost literacy rates among young learners by providing resources and fostering a love for reading. This initiative targets children ages 3-6, educators, and parents, creating safe and engaging spaces."""
"San Carlos City, Pangasinan",Philippine Luzon,Childhood literacy,PROJECT APPLE,"""Storytelling, character building, development of listening & comprehension skills, and distribution of apples """
Greater Westminster CA,California-Nevada-Hawaii,Childhood literacy,Book distribution,"""During major holidays the club distributes books to the Boys and Girls Club and at the Asian Garden Mall in Westminster."""
Matahum Dabaw,Southern Philippine,Childhood literacy,KIWANIS DO IT YOUR SELF PLAYGROUND AND READING CLINIC 2021-2022 SIMULTANEOUS PROJECT,"""Kiwanis DIY Playground and Reading Clinic and OPLAN MULTI-PUPRPOSE BUILDING REBUILD@Sirio Talos ,Brgy. San Jose ,Sto. Tomas , Davao Del Norte"""
Louisville,Louisiana-Mississippi-West Tennessee,Childhood literacy,Kiwanis Club of Louisville Backpack Library ,"""The club presents each 2nd grade students in the Louisville Municipal School District with a new backpack containing books for summer reading."""
Literacy in Salinas CA,California-Nevada-Hawaii,Childhood literacy,Early Child Literacy,"""We are adopting schools in Salinas and donating a book a month to every first grader."""
Saint John's Antigua,Eastern Canada and the Caribbean,Childhood literacy,Toddling to Reading,""" The project aims to reach parents and teachers of pre-kindergarten age children (toddlers) as well as the children themselves. The programme is a two tiered project designed to encourage and support teachers, parents and guardians of children of kindergarten ages specifically ch"""
Literacy Barbados,Eastern Canada and the Caribbean,Childhood literacy,Read Between The Lines,"""The signature project name is - Read between the Lines, the aim of this project is to improve the literacy levels among children in Barbados across all ages while seeking to secure and improvement in the children development and life opportunity. """
The Rising Sun,Eastern Canada and the Caribbean,Childhood literacy,Fall In Love With Reading,"""The Kiwanis Club of The Rising Sun  hosts a book drive for children’s storybooks. Books are received and donated to various primary schools in The Bahamas. The storybooks were of varying genres which will allow students to discover new interests while adding to their vocabulary. """
Hastings Area (The),Minnesota-Dakotas,Childhood literacy,Annual Books & Boots Drive,"""Kiwanis of the Hastings Area strives to assist a love of reading for all youth through our Annual Books & Boots drive . We ask our community to donate gently used & new items. Items are distributed through Hastings Family Service and the annual Downtown Hastings Candy Crawl. """
Linglestown Area,Pennsylvania,Childhood literacy,Little Libraries in Lower Paxton Township,"""We stock and maintain 9 little community libraries, located in parks around the Linglestown Area.  The libraries were installed by a local Girl Scout for her service project.  We also funded and helped to re-build the new Lower Paxton Township Police Department's dog kennels."""
